
央视,#genre#
CETV1,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000027253/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000002000027253&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000002000027253&owchid=ystenlive&owsid=3242021598895402475&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYvnhTyOK8aR56MJghm7v8Fwhir4VPXSJVdPn3S9rMoJdclYQh8Vj6fgZwl3LVvElv
CCTV1,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000021973/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000021973&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000021973&owchid=ystenlive&owsid=7764101598894648627&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYXwKeOz1GP2bIpggjjn1weukrSwO21vTM0NYD2WL8VI1vFgdQn05Z7p4gpeddGQDn
CCTV2,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000012442/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000012442&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000012442&owchid=ystenlive&owsid=2417541598893349980&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhY%2Fr4vn4zuSEiY7YRgaanCR5kCikTBlVF6GqhVNG2%2F3ouZq6mCW1NbrQoVbcPQ3uT2
CCTV3,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000011218/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000011218&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000011218&owchid=ystenlive&owsid=4214761598893406939&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYduAXchjCNR141P%2FMlBOVpYy3i%2BTE1ebaD8X6UPBCa6cjVMrcAuDULWpErtBvf3l8
CCTV4,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000031664/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000002000031664&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000002000031664&owchid=ystenlive&owsid=3953531598893450395&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYw5zSBWgqf4iR%2BjQUR9Ualqs5%2B%2FpFWXcm60y9tRmWHp%2F93QcoIqzJ1u0VjhBb4xVj
CCTV5,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000004794/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000004794&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000004794&owchid=ystenlive&owsid=4620601598893498881&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhY7Y35mAa0vBuEbvuYAMJTr3EFDWh8J8uIghNwGf5UGJ6Z4kei8PMkzGsbYqOYzVEA
CCTV5+,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000018504/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000018504&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000018504&owchid=ystenlive&owsid=2404381598893548427&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYS3jMtBg12ZR6Jdaa2IIvw1eRZkzOvOKWsOgrFwghkE4VK9L9AZHVG9jMAPznwwkT
CCTV6,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000016466/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000016466&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000016466&owchid=ystenlive&owsid=6327291598893611988&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYUVdB0YqocAw1i5pWZBOeLDNR4FMasn1sw%2BUYlVI16c%2F9d2JV59lQJM088QbdlTfY
CCTV7,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000017218/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000017218&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000017218&owchid=ystenlive&owsid=8012091598893717544&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYPC27d1i8q5u6VbSbqHYC8A6zVsxLUV83H4%2BsG1bZ7tqUxlI%2BKH%2FzsCz7QoRRdgxV
CCTV8,http://219.150.217.147/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000031433/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000031433&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000031433&owchid=ystenlive&owsid=7315771598893771667&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYTR1Qit%2FK18H9rVCKAtrf4sfW%2BG%2Blu9DErsBWsXILue%2FSr3%2BtPgPGmkQBo1NYArY7
