央视高清频道,#genre#
CCTV-1高清,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-2高清,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-3高清cctv3hd,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-4高清cctv4hd,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-5高清cctv5hd,http://cctvalih5ca.v.myalicdn.com/live/cctv5_2/index.m3u8;http://39.134.65.162/PLTV/88888888/224/3221225491/index.m3u8
CCTV-5+高清cctv5phd,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV-6高清cctv6hd,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-7高清cctv7hd,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-8高清cctv8hd,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-9高清cctv9hd,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-10高清cctv10hd,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8
CCTV-12高清cctv12hd,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8
CCTV-14高清cctv14hd,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
CCTV-17高清cctv17hd,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8
CGTN高清cgtnhd,http://ivi.bupt.edu.cn/hls/cgtnhd.m3u8
CGTN DOC高清cgtndochd,http://ivi.bupt.edu.cn/hls/cgtndochd.m3u8
CHC高清电影chchd,http://ivi.bupt.edu.cn/hls/chchd.m3u8
各省卫视高清,#genre#
北京卫视高清btv1hd,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京文艺高清btv2hd,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京影视高清btv4hd,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
北京新闻高清btv9hd,http://ivi.bupt.edu.cn/hls/btv9hd.m3u8
北京冬奥纪实高清btv11hd,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
湖南卫视高清,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
浙江卫视高清zjhd,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
江苏卫视高清jshd,http://ivi.bupt.edu.cn/hls/jshd.m3u8
东方卫视高清dfhd,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
安徽卫视高清ahhd,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
黑龙江卫视高清hljhd,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
辽宁卫视高清lnhd,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
深圳卫视高清szhd,http://ivi.bupt.edu.cn/hls/szhd.m3u8
广东卫视高清gdhd,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
天津卫视高清tjhd,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
湖北卫视高清hbhd,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
山东卫视高清sdhd,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
重庆卫视高清cqhd,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
上海纪实高清docuchina,http://ivi.bupt.edu.cn/hls/docuchina.m3u8
金鹰纪实高清gedocu,http://ivi.bupt.edu.cn/hls/gedocu.m3u8
福建东南卫视高清dnhd,http://ivi.bupt.edu.cn/hls/dnhd.m3u8
四川卫视高清schd,http://ivi.bupt.edu.cn/hls/schd.m3u8
河北卫视高清hebhd,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
江西卫视高清jxhd,http://ivi.bupt.edu.cn/hls/jxhd.m3u8
河南卫视高清hnhd,http://ivi.bupt.edu.cn/hls/hnhd.m3u8
广西卫视高清gxhd,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
吉林卫视高清jlhd,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
CETV-1高清cetv1hd,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8
海南卫视高清lyhd,http://ivi.bupt.edu.cn/hls/lyhd.m3u8
贵州卫视高清gzhd,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
央视频道,#genre#
CCTV-1综合cctv1,http://ivi.bupt.edu.cn/hls/cctv1.m3u8
CCTV-2财经cctv2,http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV-3综艺cctv3,http://ivi.bupt.edu.cn/hls/cctv3.m3u8
CCTV-4中文国际cctv4,http://ivi.bupt.edu.cn/hls/cctv4.m3u8
CCTV-6电影cctv6,http://ivi.bupt.edu.cn/hls/cctv6.m3u8
CCTV-7国防军事cctv7,http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV-8电视剧cctv8,http://ivi.bupt.edu.cn/hls/cctv8.m3u8
CCTV-9纪录cctv9,http://ivi.bupt.edu.cn/hls/cctv9.m3u8
CCTV-10科教cctv10,http://ivi.bupt.edu.cn/hls/cctv10.m3u8
CCTV-11戏曲cctv11,http://ivi.bupt.edu.cn/hls/cctv11.m3u8
CCTV-12社会与法cctv12,http://ivi.bupt.edu.cn/hls/cctv12.m3u8
CCTV-13新闻cctv13,http://ivi.bupt.edu.cn/hls/cctv13.m3u8
CCTV-14少儿cctv14,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV-15音乐cctv15,http://ivi.bupt.edu.cn/hls/cctv15.m3u8
CGTNcctv16,http://ivi.bupt.edu.cn/hls/cctv16.m3u8
CCTV-17农业农村cctv17,http://ivi.bupt.edu.cn/hls/cctv17.m3u8
卫视频道,#genre#
北京卫视btv1,http://ivi.bupt.edu.cn/hls/btv1.m3u8
北京文艺btv2,http://ivi.bupt.edu.cn/hls/btv2.m3u8
北京科教btv3,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京影视btv4,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京财经btv5,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京生活btv7,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京青年btv8,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京新闻btv9,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京卡酷少儿btv10,http://ivi.bupt.edu.cn/hls/btv10.m3u8
北京冬奥纪实btv11,http://ivi.bupt.edu.cn/hls/btv11.m3u8
浙江卫视zjtv,http://ivi.bupt.edu.cn/hls/zjtv.m3u8
湖南卫视hunantv,http://ivi.bupt.edu.cn/hls/hunantv.m3u8
江苏卫视jstv,http://ivi.bupt.edu.cn/hls/jstv.m3u8
东方卫视dftv,http://ivi.bupt.edu.cn/hls/dftv.m3u8
深圳卫视sztv,http://ivi.bupt.edu.cn/hls/sztv.m3u8
安徽卫视ahtv,http://ivi.bupt.edu.cn/hls/ahtv.m3u8
河南卫视hntv,http://ivi.bupt.edu.cn/hls/hntv.m3u8
陕西卫视sxtv,http://ivi.bupt.edu.cn/hls/sxtv.m3u8
吉林卫视jltv,http://ivi.bupt.edu.cn/hls/jltv.m3u8
广东卫视gdtv,http://ivi.bupt.edu.cn/hls/gdtv.m3u8
山东卫视sdtv,http://ivi.bupt.edu.cn/hls/sdtv.m3u8
湖北卫视hbtv,http://ivi.bupt.edu.cn/hls/hbtv.m3u8
广西卫视gxtv,http://ivi.bupt.edu.cn/hls/gxtv.m3u8
河北卫视hebtv,http://ivi.bupt.edu.cn/hls/hebtv.m3u8
西藏卫视xztv,http://ivi.bupt.edu.cn/hls/xztv.m3u8
内蒙古卫视nmtv,http://ivi.bupt.edu.cn/hls/nmtv.m3u8
青海卫视qhtv,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
四川卫视sctv,http://ivi.bupt.edu.cn/hls/sctv.m3u8
天津卫视tjtv,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
山西卫视sxrtv,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
辽宁卫视lntv,http://ivi.bupt.edu.cn/hls/lntv.m3u8
厦门卫视xmtv,http://ivi.bupt.edu.cn/hls/xmtv.m3u8
新疆卫视xjtv,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
黑龙江卫视hljtv,http://ivi.bupt.edu.cn/hls/hljtv.m3u8
云南卫视yntv,http://ivi.bupt.edu.cn/hls/yntv.m3u8
江西卫视jxtv,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
福建东南卫视dntv,http://ivi.bupt.edu.cn/hls/dntv.m3u8
贵州卫视gztv,http://ivi.bupt.edu.cn/hls/gztv.m3u8
宁夏卫视nxtv,http://ivi.bupt.edu.cn/hls/nxtv.m3u8
甘肃卫视gstv,http://ivi.bupt.edu.cn/hls/gstv.m3u8
重庆卫视cqtv,http://ivi.bupt.edu.cn/hls/cqtv.m3u8
兵团卫视bttv,http://ivi.bupt.edu.cn/hls/bttv.m3u8
延边卫视ybtv,http://ivi.bupt.edu.cn/hls/ybtv.m3u8
三沙卫视sstv,http://ivi.bupt.edu.cn/hls/sstv.m3u8
海南卫视lytv,http://ivi.bupt.edu.cn/hls/lytv.m3u8
CETV-1cetv1,http://ivi.bupt.edu.cn/hls/cetv1.m3u8
CETV-3cetv3,http://ivi.bupt.edu.cn/hls/cetv3.m3u8
CETV-4cetv4,http://ivi.bupt.edu.cn/hls/cetv4.m3u8
山东教育sdetv,http://ivi.bupt.edu.cn/hls/sdetv.m3u8
