央视,#genre#
测试30M2160,http://39.134.66.66/PLTV/88888888/224/3221225638/index.m3u8
CCTV1 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225601/index.m3u8
CCTV2 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225691/index.m3u8
CCTV3 3.5M1080,http://39.134.66.66/PLTV/88888888/224/3221225490/index.m3u8
CCTV4 4M1080,http://121.31.30.91:8081/ysten-business/live/cctv-4/1.m3u8
CCTV5 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225606/index.m3u8
CCTV5+ 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225590/index.m3u8
CCTV6 3.5M1080,http://39.134.66.66/PLTV/88888888/224/3221225488/index.m3u8
CCTV7 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225485/index.m3u8
CCTV9 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10 2.5M1080,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV12 2.5M1080,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV14 2.5M1080,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV17 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CCTV1 720,http://39.134.66.66/PLTV/88888888/224/3221225493/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225686/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225732/index.m3u8
CCTV2 540,http://39.134.66.66/PLTV/88888888/224/3221225714/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225696/index.m3u8
CCTV3 720,http://39.134.66.66/PLTV/88888888/224/3221225688/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225784/index.m3u8
CCTV4 576,http://39.134.66.66/PLTV/88888888/224/3221225487/index.m3u8
CCTV5 720,http://39.134.66.66/PLTV/88888888/224/3221225491/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225685/index.m3u8
CCTV5+ 720,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225690/index.m3u8
CCTV6 720,http://39.134.66.66/PLTV/88888888/224/3221225687/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225786/index.m3u8
CCTV7 576,http://39.134.66.66/PLTV/88888888/224/3221225489/index.m3u8
CCTV8 720,http://39.134.66.66/PLTV/88888888/224/3221225692/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225788/index.m3u8
CCTV9 720,http://39.134.66.66/PLTV/88888888/224/3221225519/index.m3u8
CCTV10 576,http://39.134.66.66/PLTV/88888888/224/3221225520/index.m3u8
CCTV11 576,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV12 576,http://39.134.66.66/PLTV/88888888/224/3221225518/index.m3u8
CCTV13 576,http://39.134.66.66/PLTV/88888888/224/3221225515/index.m3u8
CCTV14 576,http://39.134.66.66/PLTV/88888888/224/3221225516/index.m3u8
CCTV14 720,http://39.134.66.66/PLTV/88888888/224/3221225557/index.m3u8
CCTV15 576,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
